Sample Id,Supertype,Section.Label,Neurotransmitter.Type,Anatomical.Division,Cluster,Class,Anatomical.Structure,Subclass,Anatomical.Substructure
25314c69-6371-4d8a-ae02-1f719de1faff,0841 SC Otx2 Gcnt4 Gaba_1,C57BL6J-638850.33,GABA,MB,3671 SC Otx2 Gcnt4 Gaba_1,20 MB GABA,NOT,204 SC Otx2 Gcnt4 Gaba,NOT
3d724013-e81b-40e1-93d5-5da4034c55c7,0855 SCs Dmbx1 Gaba_4,C57BL6J-638850.33,GABA,MB,3736 SCs Dmbx1 Gaba_4,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
f2e61331-3649-4964-a329-bc60400a8e52,0852 SCs Dmbx1 Gaba_1,C57BL6J-638850.33,GABA,MB,3724 SCs Dmbx1 Gaba_1,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
dbe582dd-ca19-4b63-a671-15faecf7d02d,0856 SCs Dmbx1 Gaba_5,C57BL6J-638850.33,GABA,MB,3740 SCs Dmbx1 Gaba_5,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
7d9f01be-16ad-436f-82e4-56a314be51bb,0830 PRT Tcf7l2 Gaba_2,C57BL6J-638850.33,GABA,MB,3607 PRT Tcf7l2 Gaba_2,20 MB GABA,NOT,202 PRT Tcf7l2 Gaba,NOT
55afdcfb-4e87-4c3a-91f0-2ca073ba31ca,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3799 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
8a8b22b4-566e-4674-be6c-15e82dfad01b,0830 PRT Tcf7l2 Gaba_2,C57BL6J-638850.33,GABA,MB,3607 PRT Tcf7l2 Gaba_2,20 MB GABA,NOT,202 PRT Tcf7l2 Gaba,NOT
97c13635-64d6-4505-a9be-2a6e56f363ed,0857 SC Lef1 Otx2 Gaba_1,C57BL6J-638850.33,GABA,MB,3743 SC Lef1 Otx2 Gaba_1,20 MB GABA,NOT,208 SC Lef1 Otx2 Gaba,NOT
fd6704ae-a91a-45c7-a18d-f90fe11e19a5,0872 SCsg Gabrr2 Gaba_1,C57BL6J-638850.33,GABA,MB,3798 SCsg Gabrr2 Gaba_1,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
9bce9268-e39e-4960-8ec1-82a9aa736388,0856 SCs Dmbx1 Gaba_5,C57BL6J-638850.33,GABA,MB,3740 SCs Dmbx1 Gaba_5,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
8a049a14-b97f-493e-a052-dedaa16dbd16,0852 SCs Dmbx1 Gaba_1,C57BL6J-638850.33,GABA,MB,3727 SCs Dmbx1 Gaba_1,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
fefb0769-7323-4872-931b-4dc4cf5bbb46,0875 SCsg Gabrr2 Gaba_4,C57BL6J-638850.33,GABA,MB,3821 SCsg Gabrr2 Gaba_4,20 MB GABA,NOT,213 SCsg Gabrr2 Gaba,NOT
77344fe1-e5d4-4805-b690-ab3ee7a7579a,0864 PRT Mecom Gaba_1,C57BL6J-638850.33,GABA,MB,3761 PRT Mecom Gaba_1,20 MB GABA,NOT,210 PRT Mecom Gaba,NOT
5123872d-ca54-46d9-8ba5-4ec76bd48461,0852 SCs Dmbx1 Gaba_1,C57BL6J-638850.33,GABA,MB,3724 SCs Dmbx1 Gaba_1,20 MB GABA,NOT,207 SCs Dmbx1 Gaba,NOT
5cae7ba6-0687-4230-b7a8-4d18ccebd6ae,0841 SC Otx2 Gcnt4 Gaba_1,C57BL6J-638850.33,GABA,MB,3671 SC Otx2 Gcnt4 Gaba_1,20 MB GABA,NOT,204 SC Otx2 Gcnt4 Gaba,NOT
a72cf756-592e-4866-8ca9-2d57e72e6003,0830 PRT Tcf7l2 Gaba_2,C57BL6J-638850.33,GABA,MB,3611 PRT Tcf7l2 Gaba_2,20 MB GABA,NOT,202 PRT Tcf7l2 Gaba,NOT
ebac711f-3fc3-4a8d-a759-44687f30534e,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
5e210229-b531-41c5-92d0-af97042d6762,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
2ffec93d-4bc1-4d42-be16-192fe61417c0,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
8d5b2a7c-9596-4d1f-b167-960ce22c64dd,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
5c912f73-8297-4b48-bf95-91d2c2d41310,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
8783a277-6e1b-4563-a638-01ea090df850,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
e8f57190-fabc-4baa-8d2f-3cde0eb491b9,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
